no,name,type1,type2,abilities,hp,atk,def,spa,spd,spe
003,フシギバナ,くさ,どく,しんりょく/ようりょくそ,80,82,83,100,100,80
003,メガフシギバナ,くさ,どく,あついしぼう,80,100,123,122,120,80
006,リザードン,ほのお,ひこう,もうか/サンパワー,78,84,78,109,85,100
006,メガリザードンX,ほのお,ドラゴン,かたいツメ,78,130,111,130,85,100
006,メガリザードンY,ほのお,ひこう,ひでり,78,104,78,159,115,100
009,カメックス,みず,,げきりゅう/あめうけざら,79,83,100,85,105,78
009,メガカメックス,みず,,メガランチャー,79,103,120,135,115,78
015,スピアー,むし,どく,むしのしらせ/スナイパー,65,90,40,45,80,75
015,メガスピアー,むし,どく,てきおうりょく,65,150,40,15,80,145
018,ピジョット,ノーマル,ひこう,するどいめ/ちどりあし/はとむね,83,80,75,70,70,101
018,メガピジョット,ノーマル,ひこう,ノーガード,83,80,80,135,80,121
024,アーボック,どく,,いかく/だっぴ/きんちょうかん,60,95,69,65,79,80
025,ピカチュウ,でんき,,せいでんき/ひらいしん,35,55,40,50,50,90
026,ライチュウ,でんき,,せいでんき/ひらいしん,60,90,55,90,80,110
026,ライチュウ(アローラ),でんき,エスパー,サーフテール,60,85,50,95,85,110
026,メガライチュウX,でんき,,エレキメイカー,60,135,95,90,95,110
026,メガライチュウY,でんき,,ノーガード,60,100,55,160,80,130
036,ピクシー,フェアリー,,メロメロボディ/マジックガード/てんねん,95,70,73,95,90,60
036,メガピクシー,フェアリー,ひこう,マジックミラー,95,80,93,135,110,70
038,キュウコン,ほのお,,もらいび/ひでり,73,76,75,81,100,100
038,キュウコン(アローラ),こおり,フェアリー,ゆきがくれ/ゆきふらし,73,67,75,81,100,109
045,ラフレシア,くさ,どく,ようりょくそ/ほうし,75,80,85,110,90,50
059,ウインディ,ほのお,,いかく/もらいび/せいぎのこころ,90,110,80,100,80,95
059,ウインディ(ヒスイ),ほのお,いわ,いかく/もらいび/いしあたま,95,115,80,95,80,90
065,フーディン,エスパー,,シンクロ/せいしんりょく/マジックガード,55,50,45,135,95,120
065,メガフーディン,エスパー,,トレース,55,50,65,175,105,150
068,カイリキー,かくとう,,こんじょう/ノーガード/ふくつのこころ,90,130,80,65,85,55
071,ウツボット,くさ,どく,ようりょくそ/くいしんぼう,80,105,65,100,70,70
071,メガウツボット,くさ,どく,とびだすなかみ,80,125,85,135,95,70
080,ヤドラン,みず,エスパー,どんかん/マイペース/さいせいりょく,95,75,110,100,80,30
080,メガヤドラン,みず,エスパー,シェルアーマー,95,75,180,130,80,30
080,ヤドラン(ガラル),どく,エスパー,クイックドロウ/マイペース/さいせいりょく,95,100,95,100,70,30
094,ゲンガー,ゴースト,どく,のろわれボディ,60,65,60,130,75,110
094,メガゲンガー,ゴースト,どく,かげふみ,60,65,80,170,95,130
115,ガルーラ,ノーマル,,はやおき/きもったま/せいしんりょく,105,95,80,40,80,90
115,メガガルーラ,ノーマル,,おやこあい,105,125,100,60,100,100
121,スターミー,みず,エスパー,はっこう/しぜんかいふく/アナライズ,60,75,85,100,85,115
121,メガスターミー,みず,エスパー,ちからもち,60,100,105,130,105,120
127,カイロス,むし,,かいりきバサミ/かたやぶり/じしんかじょう,65,125,100,55,70,85
127,メガカイロス,むし,ひこう,スカイスキン,65,155,120,65,90,105
128,ケンタロス,ノーマル,,いかく/いかりのつぼ/ちからずく,75,100,95,40,70,110
128,ケンタロス(パルデア単),かくとう,,いかく/いかりのつぼ/はんすう,75,110,105,30,70,100
128,ケンタロス(パルデア炎),かくとう,ほのお,いかく/いかりのつぼ/はんすう,75,110,105,30,70,100
128,ケンタロス(パルデア水),かくとう,みず,いかく/いかりのつぼ/はんすう,75,110,105,30,70,100
130,ギャラドス,みず,ひこう,いかく/じしんかじょう,95,125,79,60,100,81
130,メガギャラドス,みず,あく,かたやぶり,95,155,109,70,130,81
132,メタモン,ノーマル,,じゅうなん/かわりもの,48,48,48,48,48,48
134,シャワーズ,みず,,ちょすい/うるおいボディ,130,65,60,110,95,65
135,サンダース,でんき,,ちくでん/はやあし,65,65,60,110,95,130
136,ブースター,ほのお,,もらいび/こんじょう,65,130,60,95,110,65
142,プテラ,いわ,ひこう,いしあたま/プレッシャー/きんちょうかん,80,105,65,60,75,130
142,メガプテラ,いわ,ひこう,かたいツメ,80,135,85,70,95,150
143,カビゴン,ノーマル,,めんえき/あついしぼう/くいしんぼう,160,110,65,65,110,30
149,カイリュー,ドラゴン,ひこう,せいしんりょく/マルチスケイル,91,134,95,100,100,80
149,メガカイリュー,ドラゴン,ひこう,マルチスケイル,91,124,115,145,125,100
154,メガニウム,くさ,,しんりょく/リーフガード,80,82,100,83,100,80
154,メガメガニウム,くさ,フェアリー,メガソーラー,80,92,115,143,115,80
157,バクフーン,ほのお,,もうか/もらいび,78,84,78,109,85,100
157,バクフーン(ヒスイ),ほのお,ゴースト,もうか/おみとおし,73,84,78,119,85,95
160,オーダイル,みず,,げきりゅう/ちからずく,85,105,100,79,83,78
160,メガオーダイル,みず,ドラゴン,ドラゴンスキン,85,160,125,89,93,78
168,アリアドス,むし,どく,むしのしらせ/ふみん/スナイパー,70,90,70,60,70,40
181,デンリュウ,でんき,,せいでんき/プラス,90,75,85,115,90,55
181,メガデンリュウ,でんき,ドラゴン,かたやぶり,90,95,105,165,110,45
184,マリルリ,みず,フェアリー,あついしぼう/ちからもち/そうしょく,100,50,80,60,80,50
186,ニョロトノ,みず,,ちょすい/しめりけ/あめふらし,90,75,75,90,100,70
196,エーフィ,エスパー,,シンクロ/マジックミラー,65,65,60,130,95,110
197,ブラッキー,あく,,シンクロ/せいしんりょく,95,65,110,60,130,65
199,ヤドキング,みず,エスパー,どんかん/マイペース/さいせいりょく,95,75,80,100,110,30
199,ヤドキング(ガラル),どく,エスパー,きみょうなくすり/マイペース/さいせいりょく,95,65,80,110,110,30
205,フォレトス,むし,はがね,がんじょう/ぼうじん,75,90,140,60,60,40
208,ハガネール,はがね,じめん,いしあたま/がんじょう/ちからずく,75,85,200,55,65,30
208,メガハガネール,はがね,じめん,すなのちから,75,125,230,55,95,30
211,ハリーセン,みず,どく,どくのトゲ/すいすい/いかく,65,95,85,55,55,85
212,ハッサム,むし,はがね,むしのしらせ/テクニシャン/ライトメタル,70,130,100,55,80,65
212,メガハッサム,むし,はがね,テクニシャン,70,150,140,65,100,75
214,ヘラクロス,むし,かくとう,むしのしらせ/こんじょう/じしんかじょう,80,125,75,40,95,85
214,メガヘラクロス,むし,かくとう,スキルリンク,80,185,115,40,105,75
227,エアームド,はがね,ひこう,するどいめ/がんじょう/くだけるよろい,65,80,140,40,70,70
227,メガエアームド,はがね,ひこう,すじがねいり,65,140,110,40,100,110
229,ヘルガー,あく,ほのお,はやおき/もらいび/きんちょうかん,75,90,50,110,80,95
229,メガヘルガー,あく,ほのお,サンパワー,75,90,90,140,90,115
248,バンギラス,いわ,あく,すなおこし/きんちょうかん,100,134,110,95,100,61
248,メガバンギラス,いわ,あく,すなおこし,100,164,150,95,120,71
254,ジュカイン,くさ,,しんりょく/かるわざ,70,85,65,105,85,120
