name,type,category,power,accuracy,priority,effect,rank_change
アシッドボム,どく,特殊,40.0,100.0,0.0,相手のとくぼうを2段階下げる,相手とくぼう-2(100%)
こうそくいどう,ノーマル,変化,,,0.0,自分のすばやさを2段階上げる,自分すばやさ+2
エアスラッシュ,ひこう,特殊,75.0,95.0,0.0,30%で相手をひるませる,
アクアカッター,みず,物理,70.0,100.0,0.0,急所に当たりやすい,
アクアジェット,みず,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
オーロラベール,こおり,変化,,,0.0,5ターン、物理・特殊両方のダメージを軽減。雪・あられ時のみ使用可,
ゆきなだれ,こおり,物理,60.0,100.0,0.0,先に攻撃を受けていると威力2倍（優先度-4）,
バトンタッチ,ノーマル,変化,,,0.0,能力変化を引き継いで交代する,
はらだいこ,ノーマル,変化,,,0.0,HPを半分払い、こうげきを最大まで上げる,自分こうげき+6
かみつく,あく,物理,60.0,100.0,0.0,30%で相手をひるませる,
ブレイズキック,ほのお,物理,85.0,90.0,0.0,急所に当たりやすい。10%でやけど,
ふぶき,こおり,特殊,110.0,70.0,0.0,10%でこおり。あられ・雪では必中,
ボディプレス,かくとう,物理,80.0,100.0,0.0,ぼうぎょの数値でダメージを計算する,
ブレイブバード,ひこう,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける,
かわらわり,かくとう,物理,75.0,100.0,0.0,リフレクター・ひかりのかべを壊してから攻撃,
むしのさざめき,むし,特殊,90.0,100.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
バレットパンチ,はがね,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
タネマシンガン,くさ,物理,25.0,100.0,0.0,2〜5回連続攻撃,
めいそう,エスパー,変化,,,0.0,自分のとくこう・とくぼうを1段階ずつ上げる,自分とくこう+1/とくぼう+1
ひえひえコール,こおり,変化,,,0.0,雪を降らせて交代する,
インファイト,かくとう,物理,120.0,100.0,0.0,自分のぼうぎょ・とくぼうが1段階下がる,自分ぼうぎょ-1/とくぼう-1
コスモパワー,エスパー,変化,,,0.0,自分のぼうぎょ・とくぼうを1段階ずつ上げる,自分ぼうぎょ+1/とくぼう+1
かみくだく,あく,物理,80.0,100.0,0.0,20%で相手のぼうぎょを1段階下げる,相手ぼうぎょ-1(20%)
のろい,ゴースト,変化,,,0.0,ゴースト以外：すばやさ-1とこうげき・ぼうぎょ+1。ゴースト：HP半分でのろい,自分こうげき+1/ぼうぎょ+1/すばやさ-1
あくのはどう,あく,特殊,80.0,100.0,0.0,20%で相手をひるませる,
DDラリアット,あく,物理,85.0,100.0,0.0,相手の能力変化を無視してダメージを与える,
マジカルシャイン,フェアリー,特殊,80.0,100.0,0.0,追加効果なし,
みちづれ,ゴースト,変化,,,0.0,倒された場合、相手も道連れにする,
みきり,かくとう,変化,,,4.0,そのターンの攻撃を防ぐ（優先度+4・連続使用で成功率低下）,
すてみタックル,ノーマル,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける,
りゅうせいぐん,ドラゴン,特殊,130.0,90.0,0.0,自分のとくこうが2段階下がる,自分とくこう-2
りゅうのまい,ドラゴン,変化,,,0.0,自分のこうげき・すばやさを1段階ずつ上げる,自分こうげき+1/すばやさ+1
りゅうのはどう,ドラゴン,特殊,85.0,100.0,0.0,追加効果なし,
ドラゴンテール,ドラゴン,物理,60.0,90.0,-6.0,相手を強制交代させる（優先度-6）,
ドレインパンチ,かくとう,物理,75.0,100.0,0.0,与ダメージの1/2を回復,
ドレインキッス,フェアリー,特殊,50.0,100.0,0.0,与ダメージの3/4を回復,
ダブルウイング,ひこう,物理,80.0,90.0,0.0,2回連続攻撃,
だいちのちから,じめん,特殊,90.0,100.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
じしん,じめん,物理,100.0,100.0,0.0,追加効果なし（ダブルでは味方も巻き込む）,
アンコール,ノーマル,変化,,100.0,0.0,3ターン、相手に直前の技を繰り返させる,
がむしゃら,ノーマル,物理,,100.0,0.0,相手のHPを自分と同じ値まで減らす,
エナジーボール,くさ,特殊,90.0,100.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
しんそく,ノーマル,物理,80.0,100.0,2.0,先制攻撃（優先度+2）,
ねこだまし,ノーマル,物理,40.0,100.0,3.0,必ずひるませる。場に出た最初のターンのみ（優先度+3）,
フェイント,ノーマル,物理,30.0,100.0,2.0,まもる・みきりを貫通する（優先度+2）,
ほのおのまい,ほのお,特殊,80.0,100.0,0.0,50%で自分のとくこうが1段階上がる,自分とくこう+1(50%)
いのちがけ,かくとう,特殊,,100.0,0.0,自分の残りHPと同じダメージを与え、自分は瀕死になる,
だいもんじ,ほのお,特殊,110.0,85.0,0.0,10%でやけど,
じわれ,じめん,物理,,30.0,0.0,一撃必殺。当たれば相手は瀕死,
ニトロチャージ,ほのお,物理,50.0,100.0,0.0,自分のすばやさが1段階上がる,自分すばやさ+1(100%)
かえんほうしゃ,ほのお,特殊,90.0,100.0,0.0,10%でやけど,
フレアドライブ,ほのお,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける。10%でやけど,
ラスターカノン,はがね,特殊,80.0,100.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
クイックターン,みず,物理,60.0,100.0,0.0,攻撃後に交代する,
トリックフラワー,くさ,物理,70.0,,0.0,必中かつ必ず急所に当たる,
きあいだま,かくとう,特殊,120.0,70.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
イカサマ,あく,物理,95.0,100.0,0.0,相手のこうげきの数値でダメージを計算する,
フリーズドライ,こおり,特殊,70.0,100.0,0.0,みずタイプに対して効果抜群になる。10%でこおり,
ギガドレイン,くさ,特殊,75.0,100.0,0.0,与ダメージの1/2を回復,
へびにらみ,ノーマル,変化,,100.0,0.0,相手をまひ状態にする,
くさむすび,くさ,特殊,,100.0,0.0,相手が重いほど威力上昇（20〜120）,
うでずもう,かくとう,物理,100.0,90.0,0.0,自分のすばやさが1段階下がる,自分すばやさ-1
くろいきり,こおり,変化,,,0.0,場の全員の能力変化を元に戻す,
ヘビーボンバー,はがね,物理,,100.0,0.0,自分が相手より重いほど威力上昇（40〜120）,
たたりめ,ゴースト,特殊,65.0,100.0,0.0,相手が状態異常なら威力2倍,
とびひざげり,かくとう,物理,130.0,90.0,0.0,外すと自分が最大HPの1/2のダメージを受ける,
つのドリル,ノーマル,物理,,30.0,0.0,一撃必殺。当たれば相手は瀕死,
ぼうふう,ひこう,特殊,110.0,70.0,0.0,30%でこんらん。雨では必中、晴れでは命中50,
ハイドロポンプ,みず,特殊,110.0,80.0,0.0,追加効果なし,
ハイパーボイス,ノーマル,特殊,90.0,100.0,0.0,みがわりを貫通する（音技）,
れいとうビーム,こおり,特殊,90.0,100.0,0.0,10%でこおり,
こおりのキバ,こおり,物理,65.0,95.0,0.0,10%でこおり、10%でひるみ,
れいとうパンチ,こおり,物理,75.0,100.0,0.0,10%でこおり,
こおりのつぶて,こおり,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
アイススピナー,こおり,物理,80.0,100.0,0.0,フィールドを消す,
つららおとし,こおり,物理,85.0,90.0,0.0,30%で相手をひるませる,
つららばり,こおり,物理,25.0,100.0,0.0,2〜5回連続攻撃,
こごえるかぜ,こおり,特殊,55.0,95.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
まとわりつく,むし,特殊,20.0,100.0,0.0,4〜5ターン相手を拘束し交代不能にする,
てっぺき,はがね,変化,,,0.0,自分のぼうぎょを2段階上げる,自分ぼうぎょ+2
アイアンヘッド,はがね,物理,80.0,100.0,0.0,30%で相手をひるませる,
はたきおとす,あく,物理,65.0,100.0,0.0,相手の持ち物を落とす。持ち物ありなら威力1.5倍,
しのびよる,ゴースト,物理,50.0,100.0,0.0,倒れた味方の数だけ威力上昇（50＋50×人数）,
リーフブレード,くさ,物理,90.0,100.0,0.0,急所に当たりやすい,
リーフストーム,くさ,特殊,130.0,90.0,0.0,自分のとくこうが2段階下がる,自分とくこう-2
きゅうけつ,むし,物理,80.0,100.0,0.0,与ダメージの1/2を回復,
やどりぎのタネ,くさ,変化,,90.0,0.0,毎ターン相手の最大HPの1/8を吸収する,
ひかりのかべ,エスパー,変化,,,0.0,5ターン、特殊technique のダメージを軽減する,
アクアブレイク,みず,物理,85.0,100.0,0.0,20%で相手のぼうぎょを1段階下げる,相手ぼうぎょ-1(20%)
けたぐり,かくとう,物理,,100.0,0.0,相手が重いほど威力上昇（20〜120）,
とびかかる,むし,物理,80.0,100.0,0.0,相手のこうげきを1段階下げる,相手こうげき-1(100%)
マッハパンチ,かくとう,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
コメットパンチ,はがね,物理,90.0,90.0,0.0,20%で自分のこうげきが1段階上がる,自分こうげき+1(20%)
ちいさくなる,ノーマル,変化,,,0.0,自分の回避率を2段階上げる,
ミラーコート,エスパー,特殊,,100.0,-5.0,受けた特殊技のダメージを2倍にして返す（優先度-5）,
ミストフィールド,フェアリー,変化,,,0.0,5ターン、地上のポケモンが状態異常にならない。ドラゴン技半減,
ムーンフォース,フェアリー,特殊,95.0,100.0,0.0,30%で相手のとくこうを1段階下げる,相手とくこう-1(30%)
つきのひかり,フェアリー,変化,,,0.0,最大HPの1/2回復（天候で変動）,
あさのひざし,ノーマル,変化,,,0.0,最大HPの1/2回復（天候で変動）,
マッドショット,じめん,特殊,55.0,95.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
マジカルフレイム,ほのお,特殊,75.0,100.0,0.0,相手のとくこうを1段階下げる,相手とくこう-1(100%)
わるだくみ,あく,変化,,,0.0,自分のとくこうを2段階上げる,自分とくこう+2
つじぎり,あく,物理,70.0,100.0,0.0,急所に当たりやすい,
